id,PV output,PeriodStart,hours
8430,0,14-10-2019,2
8429,0,14-10-2019,1
8428,0,14-10-2019,0
8439,3260.444444,14-10-2019,11
8466,613.3694444,15-10-2019,14
8467,584.9222222,15-10-2019,15
8468,309.6944444,15-10-2019,16
8469,0,15-10-2019,17
8475,0,15-10-2019,23
8472,0,15-10-2019,20
8473,0,15-10-2019,21
8474,0,15-10-2019,22
8465,548.2339833,15-10-2019,13
8471,0,15-10-2019,19
8464,1369.647222,15-10-2019,12
8470,0,15-10-2019,18
8462,1007.286111,15-10-2019,10
8461,895.3888889,15-10-2019,9
8460,54.06111111,15-10-2019,8
8459,0,15-10-2019,7
8458,0,15-10-2019,6
8457,0,15-10-2019,5
8456,0,15-10-2019,4
8455,0,15-10-2019,3
