id,PV output,PeriodStart,hours
0,0,28-10-2018,0
23,0,28-10-2018,23
22,0,28-10-2018,22
21,0,28-10-2018,21
20,0,28-10-2018,20
19,0,28-10-2018,19
18,0,28-10-2018,18
16,0,28-10-2018,16
15,567.4138889,28-10-2018,15
14,1729.738889,28-10-2018,14
13,3404.872222,28-10-2018,13
12,2901.155989,28-10-2018,12
17,0,28-10-2018,17
10,369.1055556,28-10-2018,10
9,0,28-10-2018,9
8,0,28-10-2018,8
7,0,28-10-2018,7
6,0,28-10-2018,6
5,0,28-10-2018,5
4,0,28-10-2018,4
3,0,28-10-2018,3
2,0,28-10-2018,2
1,0,28-10-2018,1
11,2570.575,28-10-2018,11
38,851.3333333,29-10-2018,14
39,16.70555556,29-10-2018,15
40,0,29-10-2018,16
41,0,29-10-2018,17
42,0,29-10-2018,18
47,0,29-10-2018,23
44,0,29-10-2018,20
45,0,29-10-2018,21
46,0,29-10-2018,22
37,1784.2,29-10-2018,13
43,0,29-10-2018,19
36,2926.988889,29-10-2018,12
29,0,29-10-2018,5
34,900.3833333,29-10-2018,10
35,2824.108333,29-10-2018,11
25,0,29-10-2018,1
26,0,29-10-2018,2
27,0,29-10-2018,3
28,0,29-10-2018,4
24,0,29-10-2018,0
30,0,29-10-2018,6
31,0.425,29-10-2018,7
32,472.9194444,29-10-2018,8
33,950.875,29-10-2018,9
71,0,30-10-2018,23
70,0,30-10-2018,22
69,0,30-10-2018,21
68,0,30-10-2018,20
67,0,30-10-2018,19
66,0,30-10-2018,18
64,328.4194444,30-10-2018,16
63,1824.994444,30-10-2018,15
62,1284.366667,30-10-2018,14
61,1642.25,30-10-2018,13
60,1854.011111,30-10-2018,12
65,0,30-10-2018,17
58,794.8222222,30-10-2018,10
49,0,30-10-2018,1
50,0,30-10-2018,2
51,0,30-10-2018,3
52,0,30-10-2018,4
53,0,30-10-2018,5
48,0,30-10-2018,0
54,0,30-10-2018,6
55,0,30-10-2018,7
56,0,30-10-2018,8
57,558.4361111,30-10-2018,9
59,1793.433333,30-10-2018,11
85,1333.213889,31-10-2018,13
94,0,31-10-2018,22
93,0,31-10-2018,21
92,0,31-10-2018,20
91,0,31-10-2018,19
90,0,31-10-2018,18
89,0,31-10-2018,17
88,550.2583333,31-10-2018,16
87,646.9916667,31-10-2018,15
86,567.4111111,31-10-2018,14
84,1951.416667,31-10-2018,12
95,0,31-10-2018,23
82,1500.488889,31-10-2018,10
72,0,31-10-2018,0
73,0,31-10-2018,1
74,0,31-10-2018,2
75,0,31-10-2018,3
76,0,31-10-2018,4
83,1924.463889,31-10-2018,11
78,0,31-10-2018,6
79,0,31-10-2018,7
80,162.725,31-10-2018,8
81,1329.194444,31-10-2018,9
77,0,31-10-2018,5
109,3557.033333,01-11-2018,13
110,2848.983333,01-11-2018,14
111,1294.080556,01-11-2018,15
112,19.42222222,01-11-2018,16
113,0,01-11-2018,17
115,0,01-11-2018,19
116,0,01-11-2018,20
117,0,01-11-2018,21
118,0,01-11-2018,22
108,3816.338889,01-11-2018,12
114,0,01-11-2018,18
119,0,01-11-2018,23
107,3789.961111,01-11-2018,11
105,1224.077778,01-11-2018,9
104,17.77777778,01-11-2018,8
103,0,01-11-2018,7
102,0,01-11-2018,6
101,0,01-11-2018,5
100,0,01-11-2018,4
99,0,01-11-2018,3
98,0,01-11-2018,2
97,0,01-11-2018,1
96,0,01-11-2018,0
106,3189.275,01-11-2018,10
134,830.3509749,02-11-2018,14
135,60.45555556,02-11-2018,15
136,0.472222222,02-11-2018,16
138,0,02-11-2018,18
133,2001.733333,02-11-2018,13
140,0,02-11-2018,20
141,0,02-11-2018,21
142,0,02-11-2018,22
143,0,02-11-2018,23
139,0,02-11-2018,19
132,2090.963889,02-11-2018,12
137,0,02-11-2018,17
130,1242.597222,02-11-2018,10
120,0,02-11-2018,0
121,0,02-11-2018,1
122,0,02-11-2018,2
123,0,02-11-2018,3
124,0,02-11-2018,4
131,1059.002778,02-11-2018,11
126,0,02-11-2018,6
127,0,02-11-2018,7
128,0,02-11-2018,8
129,524.0111111,02-11-2018,9
125,0,02-11-2018,5
167,0,03-11-2018,23
166,0,03-11-2018,22
165,0,03-11-2018,21
164,0,03-11-2018,20
163,0,03-11-2018,19
162,0,03-11-2018,18
161,0,03-11-2018,17
160,0,03-11-2018,16
158,1628.630556,03-11-2018,14
157,2633.766667,03-11-2018,13
156,2563.622222,03-11-2018,12
159,489.125,03-11-2018,15
154,1656.261111,03-11-2018,10
155,1869.061111,03-11-2018,11
145,0,03-11-2018,1
146,0,03-11-2018,2
144,0,03-11-2018,0
148,0,03-11-2018,4
147,0,03-11-2018,3
150,0,03-11-2018,6
151,0,03-11-2018,7
152,0,03-11-2018,8
153,1177.458333,03-11-2018,9
149,0,03-11-2018,5
182,1088.433333,04-11-2018,14
183,711.4194444,04-11-2018,15
184,0,04-11-2018,16
185,0,04-11-2018,17
186,0,04-11-2018,18
191,0,04-11-2018,23
188,0,04-11-2018,20
189,0,04-11-2018,21
190,0,04-11-2018,22
181,1838.755556,04-11-2018,13
187,0,04-11-2018,19
180,1054.488889,04-11-2018,12
171,0,04-11-2018,3
178,205.375,04-11-2018,10
177,327.0972222,04-11-2018,9
176,0,04-11-2018,8
175,0,04-11-2018,7
174,0,04-11-2018,6
173,0,04-11-2018,5
172,0,04-11-2018,4
170,0,04-11-2018,2
169,0,04-11-2018,1
168,0,04-11-2018,0
179,1160.622222,04-11-2018,11
205,1748.966667,05-11-2018,13
206,1986.413889,05-11-2018,14
207,1351.447222,05-11-2018,15
208,173.8138889,05-11-2018,16
209,0,05-11-2018,17
214,0,05-11-2018,22
211,0,05-11-2018,19
212,0,05-11-2018,20
213,0,05-11-2018,21
204,2051.025,05-11-2018,12
210,0,05-11-2018,18
215,0,05-11-2018,23
203,1932.105556,05-11-2018,11
201,673.1277778,05-11-2018,9
192,0,05-11-2018,0
193,0,05-11-2018,1
194,0,05-11-2018,2
195,0,05-11-2018,3
202,1402.013889,05-11-2018,10
197,0,05-11-2018,5
198,0,05-11-2018,6
199,0,05-11-2018,7
200,3.030555556,05-11-2018,8
196,0,05-11-2018,4
230,2349.658333,06-11-2018,14
239,0,06-11-2018,23
238,0,06-11-2018,22
237,0,06-11-2018,21
236,0,06-11-2018,20
235,0,06-11-2018,19
234,0,06-11-2018,18
233,0,06-11-2018,17
232,0,06-11-2018,16
231,1192.252778,06-11-2018,15
229,2338.333333,06-11-2018,13
228,3120.633333,06-11-2018,12
216,0,06-11-2018,0
227,2567.508333,06-11-2018,11
217,0,06-11-2018,1
218,0,06-11-2018,2
220,0,06-11-2018,4
